autobiography,자서전
preserve,보존하다
preservation,방부제
preservation,보존;저장
reserve,비축하다;예약하다
reserved,예약된;내성적인
tense,긴장된
contend,다투다;경쟁하다
extend,늘이다
intense,강렬한
intensive,주의를 돌리다
extract,뽑아내다
subtract,빼다;공제하다
adhere,부착하다
conclude,결론을 내리다
disclose,폭로하다
enclose,동봉하다;둘러싸다
exclude,차단하다;제외하다
exclusive,배타적인;독점적인
core,핵심
accordance,일치;조화
accordingly,따라서
discord,불협화음
sympathy,연민
sympathize,동정하다;공감하다
sensation,감각
sensational,선풍적인;인기를 끄는
sensibility,감각
consent,동의하다
resent,분개하다
credit,신용
credible,믿을만한;확실한
credibility,신뢰성
discredit,신용에 손상을 입히다
incredible,믿을 수 없는
just,공정한
injustice,부정
unjust,부당한
conduct,지휘;행동하다
deduct,빼다;공제하다
reduce,감소시키다
seduce,부추기다;나쁜길로유혹하다
compel,억지로 시키다;강요하다
compulsive,강제적인
compulsory,강제적인
expel,추방하다
impulse,추친력;자극
impulsive,충동적인
propel,추진하다;촉구하다
pressure,압력
oppress,탄압하다;진압하다
oppressive,가혹한
assert,주장하다
desert,사막;버리다
deserted,황량한;버림받은
deposit,예금하다;예금(액)
dispose,정돈하다;처분하다
disposal,폐기;처분
expose,드러내다;폭로하다
exposure,폭로
oppose,반대하다
exposition,박람회;전시;설명
opposition,반대;적의
opponent,상대;적수
postpone,연기하다;미루다
indispensable,필수의
suspend,임박한
valid,타당한;유효한
invaluable,매우 귀중한
evaluate,평가하다
prevail,널리퍼지다;우세하다
prevailing,지배적인;유행하고있는
precious,값비싼;귀중한
priceless,값을 매길수없이 귀중한
depreciate,가치 떨어지다
equality,평등
equalize,균일화하다
adequate,적당한;충분한;유능한
novel,소설;새로운
innovate,혁시하다
renovate,개조하다;혁신하다
eject,추방하다;분출하다
inject,주입하다;도입하다
injection,주사
projector,기획자;영사기
reject,거절하다
abruptly,갑자기
corrupt,부패한
erupt,폭발하다;분출하다
interruption,방해;중단
aspire,열망하다;동경하다
conspiracy,공모;음모
expire,만기가 되다
expiration,만료
inspire,격려하다
fluent,유창한
fluid,유동체
influence,영향력
influenza,유행성감기
heir,상속인
heiress,여자 상속인
heritage,유산
inherit,상속하다
inherent,타고난
medium,중간의;매개물
mediate,중재하다
Mediterranean,지중해
intermediate,중급
scent,향기
reproduce,재생하다;번식시키다
breed,번식하다
ripe,익은;숙성한
migrate,이주하다
fierce,거친;사나운
habitat,서식지
hatch,부화하다
dim,어둑한
meadow,목초지;초원
breeze,산들바람
majestic,장엄한
steep,험준한
trail,발자국;흔적
fade,색이 바래다
splendid,화려한
outlook,경치;전망
mist,안개
phenomenon,현상
moisture,습기;수빈
frost,서리;결빙
thermometer,온도계
whirl,소용돌이치다;소동
fossil,화석
storage,저장
abundant,풍부한
canal,운하
hemisphere,(지구 천체의)반구
province,(행정구역)주; 지방
wildermess,황야;황무지
damp,축축한;낙담한
dense,빽빽한;밀집한
fertile,기름진;다산의
region,지역;지방
district,지방;지역
radiate,방사하다;발산하다
endangered,멸종위기에 처한
extinct,멸종한;소멸된
ecology,생태한
ecological,생태계의
layer,층;겹
contaminate,더럽히다
function,기능;역할
instrument,기구;악기
artificial,인공의
evolution,발전;전진
utility,유용;효용
install,설치하다
vapor,증기
fragile,깨지기 쉬운;약한
glitter,반짝임;화려하다
shrink,오르라들다;줄어들다
gravity,중력
satellite,위성;인공위성
rotate,회전하다
spacecraft,우주선
telescope,망원경
comet,혜성
foster,촉진하다;기르다
offspring,자손
adolescent,청춘의;사춘기
bond,유대;결속
calf,송아지;종아리
grain,곡식
nourish,~에게 영향분을주다;기르다
salmon,연어
odor,"냄새,향기"
stain,얼룩;더럽히다
outfit,의복
accommodate,숙박시키다
basin,대야;세면대
drain,물이 빠지다
tap,수도꼭지;마개
leak,새는곳;누출;새다
mop,자루걸레
plumber,배관공
vacuum,진공
polish,광을 내다;세련되게 하다
rub,문지르다
spacious,넓은;거대한
sweep,쓸다;청소하다
literature,문학
quote,인용하다
civilization,문명
racial,인종의
ethnic,민족의
tribe,부족한
assimilation,동질화
feast,향연;축제
flourish,번영하다;성공하다
primitive,원시의
prejudice,편견
elaborate,공들인;정교한
refined,세련된;정교한
preach,설교;충고하다
divine,신성한
eternal,영원한
immortal,죽지않는;영원한
worship,숭배;예찬
cathedral,대성당
pastime,취미;기분전환
exhibition,진열
rob,지팡이
souvenir,기념품
enterprise,기업;회사;사업
firm,회사
corporation,주식회사
fulfill,(약속 직무를)이행하다
accomplish,이룩하다
incentive,장려금
profit,이익;수익
invest,투자하다
trade,거래;교역하다
goods,상품
agriculture,농업
craft,기술
merchant,상인
guarantee,보증
estimate,평가하다
expense,지출
finance,재무
fund,기금;예금
income,수입
precaution,예방조치
inevitable,피할수 없는
altert,경고하다
insurance,보험
sequence,잇따라 일어남;순서
investigate,조사하다
inhabit,거주하다
residence,주거;주택
emigrate,이미가다
immigrate,이주해 오다
charity,자선
donate,기부하다
discriminate,차별하다
outbreak,(전쟁 유행병) 발생
strategy,전략
colony,식민
federal,연방의
embassy,대사관
neutral,중립의
dominate,지배하다
diplomat,외교관
demonstrate,시위운동을 하다
restrict,제한하다;금지하다
nominate,임명하다
bind,묶다
fold,접다
grab,움켜쥐다
scatter,흩뿌리다
glance,힐끗 보다
leap,뛰어오르다
wander,떠돌다
peel,껍질을 벗기다;껍질
split,쪼개다
remedy,치료
fatal,치명적인
accelerate,촉진하다;기르다
route,길;통로
fare,교통요금
pavement,포장도로
discipline,훈련하다
instruct,가르치다
instruction,지식;교육
superficial,표면상의
approximately,대체로;대략
irritated,짜증이 난;화난
astonished,깜짝 놀란
awesome,멋있는
grief,큰 슬픔
weep,울다;슬퍼하다
trait,특징
enthusiastic,열광적인
flaw,흠;결점
abandon,단념하다
vanish,사라지다
stimulate,자극하다
vertical,수직의
parallel,평행의
correspond,일치하다;편지왕래를 하다
confess,자백하다
inquiry,묻다
recognize,분간하다;인정하다
insight,식견
intuition,직감
